Sentence,Final Intent
मलाई रेस्टुरेन्ट को नाम भन,रेस्टुरेन्ट
यहाँ को नाम के हो,रेस्टुरेन्ट
आजको  स्पेशल के छ परि,स्पेशल
परि आज स्पेशल के हो,स्पेशल
आजको स्पेशल के हो,स्पेशल
तिम्रो रेस्टुरेन्टमा आज के स्पेशल छ,स्पेशल
तिम्रो होटेलमा आज के स्पेशल छ,स्पेशल
आज हामीले यहाको स्पेशल अर्डर गरे भने के आउछ,स्पेशल
मलाई स्पेशल खानु मन छ भन त के हो आजको स्पेशल,स्पेशल
आज हामीलाई के स्पेशल छ,स्पेशल
आज स्पेशल के बन्छ,स्पेशल
स्पेशल के छ,स्पेशल
स्पेशल केहि छ र,स्पेशल
रेस्टुरेन्ट को स्पेशल के हो,स्पेशल
रेस्टुरेन्टमा स्पेशल के छ,स्पेशल
यहाँ को स्पेशल के हो,स्पेशल
यहाँ  स्पेशल के पाइन्छ,स्पेशल
स्पेशल के यहाँ,स्पेशल
आज केहि अफर छ,अफर
आज केहि कुरामा छुट छ,अफर
आज  डिसकाउन्ट छ,अफर
दुइटा खादा एउटा फ्री जस्तो अफर छैन,अफर
हाम्रो लागि के अफर छ,अफर
अफर के छ,अफर
केहि इस्पेसल अफर होला नि परि,अफर
अफर छ,अफर
डिसकाउन्ट छ,अफर
छुट छ,अफर
डिसकाउन्ट के छ,अफर
छुट के छ,अफर
स्पेसल अफर छ र परि,अफर
स्पेसल डिसकाउन्ट  छ र,अफर
स्पेसल छुट छ र,अफर
यहाँ डिसकाउन्ट पाइन्छ र,अफर
डिसकाउन्ट दिन मिल्छ कि नाई यहाँ,अफर
डिसकाउन्ट दिन मिल्छ,अफर
वाईफाई छ,वाईफाई
वाईफाईको सुभिदा छ,वाईफाई
वाईफाई दिन मिल्छ,वाईफाई
मलाई वाईफाईको पासवोर्ड चाहियो,वाईफाई
मलाई वाईफाईको पासवोर्ड दिना मिल्छ,वाईफाई
वाईफाईको पासवोर्ड के हो,वाईफाई
वाईफाई कस्तो चल्छ,वाईफाई
वाईफाईको इस्पिड राम्रो छ,वाईफाई
वाईफाईको इस्पिड कस्तो छ,वाईफाई
वाईफाई छिटो छ कि नाई ,वाईफाई
वाईफाई सुस्त छ र,वाईफाई
वाईफाई छ कि नाइँ,वाईफाई
वाईफाईको पासवोर्ड दिन मिल्छ,वाईफाई
वाईफाई छ कि छैन,वाईफाई
यहाँ वाईफाई कस्तो छ,वाईफाई
यहाँ वाईफाईको स्पिड छिटो छ त,वाईफाई
वाईफाईको स्पिड राम्रो छ कि छैन,वाईफाई
यहाँको वाईफाई राम्रो छ,वाईफाई
पिजा छ कि छैन ,पिजा
पिजा पाउछ,पिजा
पिजा बन्छ कि नाई,पिजा
पिजा बनाउन मिल्छ,पिजा
पिजा सक्कियो कि नाई,पिजा
पिजा सक्केको हो र,पिजा
पिजा चाहिएको थियो पाउछ कि नाई,पिजा
पिजा होला,पिजा
कुन कुन पिजा छ,पिजा
कस्तो कस्तो पिजा छ,पिजा
कति किसिमको पिजा छ,पिजा
कति प्रकारको पिजा छ,पिजा
पिजालाई कति समय लाग्छ,पिजा
पिजालाई कति कुर्नु पर्छ,पिजा
पिजा कति बेला रेडी हुन्छ,पिजा
पिजा कति बेला तयार हुन्छ,पिजा
पिजालाई कति बेला सम्म कुर्नु पर्छ,पिजा
पिजा छ,पिजा
पिजा छ कि नाई,पिजा
पिजा पाउछ कि नाई,पिजा
पिजा पाउछ कि पाउदैन,पिजा
पिजा बनाउन मिल्छ कि मिल्दैन,पिजा
पिजा बनाउन मिल्छ कि नाई,पिजा
पिजा सक्कियो र,पिजा
पिजा कुन कुन छ,पिजा
पिजा कस्तो कस्तो छ र,पिजा
कति प्रकारको पिजा पाइन्छ यहाँ,पिजा
कति किसिमको पिजा पाइन्छ यहाँ,पिजा
पिजामा कुन छ,पिजा
पिजा बन्न कति समय लाग्छ,पिजा
पिजा बनाउन कति समय लाग्छ,पिजा
कति समय लाग्छ पिजा बन्न,पिजा
कति बेला पिजा रेडी हुन्छ,पिजा
कति बेला सम्म कुर्न पर्नी हो हामीलाई पिजाको लागि,पिजा
कति बेला तयार हुन्छ पिजा,पिजा
पिजा बनाएर कति बेला रेडी हुन्छ,पिजा
पिजा बनाएर कति बेला तयार हुन्छ,पिजा
चिज पिजा छ,चिज पिजा
चिज वाला पिजा पाइन्छ,चिज पिजा
चिज पिजा बन्छ,चिज पिजा
चिज पिजा बनाउन मिल्छ,चिज पिजा
चिज पिजा पाउला कि नाई,चिज पिजा
चिज पिजालाई कति हो,चिज पिजा
चिज पिजाको पैसा कति हो,चिज पिजा
चिज पिजालाई कति तिर्नु पर्नी हो,चिज पिजा
चिज पिजा कतिमा पाइन्छ,चिज पिजा
चिज पिजालाई कति पर्न जान्छ,चिज पिजा
चिज पिजा छ कि छैन,चिज पिजा
चिज पिजा छ कि नाइँ,चिज पिजा
चिज वाला पिजा पाइन्छ कि नाइँ,चिज पिजा
चिज वाला पिजा पाउछ कि पाउदैन,चिज पिजा
चिज पिजा बन्छ कि नाइँ,चिज पिजा
चिज पिजा बन्छ कि बन्दैन,चिज पिजा
चिज पिजा बनाउन मिल्छ कि नाइँ,चिज पिजा
चिज पिजा बनाउन मिल्छ कि मिल्दैन,चिज पिजा
चिज पिजा पाउला,चिज पिजा
कति पर्छ चिज पिजालाइ,चिज पिजा
चिज पिजा कतिमा पाउछ होला,चिज पिजा
चिज पिजालाइ कति पर्न जान्छ,चिज पिजा
कति पर्नी हो चिज पिजालाइ,चिज पिजा
चिज पिजाको पैसा कति पर्छ,चिज पिजा
कति पैसा पर्नी हो चिज पिजालाइ,चिज पिजा
चिज पिजालाइ कति रुपैया पर्छ,चिज पिजा
चिज पिजा कति रुपैयामा आउछ,चिज पिजा
कति रुपैयामा हो चिज पिजाको,चिज पिजा
मसरूम पिजा छ,मसरूम पिजा
मसरूम वाला पिजा पाइन्छ,मसरूम पिजा
मसरूम पिजा बन्छ,मसरूम पिजा
मसरूम पिजा बनाउन मिल्छ,मसरूम पिजा
मसरूम पिजा पाउला कि नाई,मसरूम पिजा
मसरूम पिजालाई कति हो,मसरूम पिजा
मसरूम पिजाको पैसा कति हो,मसरूम पिजा
मसरूम पिजालाई कति तिर्नु पर्नी हो,मसरूम पिजा
मसरूम पिजा कतिमा पाइन्छ,मसरूम पिजा
मसरूम पिजालाई कति पर्न जान्छ,मसरूम पिजा
मसरूम पिजा छ कि छैन,मसरूम पिजा
मसरूम पिजा छ कि नाइँ,मसरूम पिजा
मसरूम वाला पिजा पाइन्छ कि नाइँ,मसरूम पिजा
मसरूम वाला पिजा पाउछ कि पाउदैन,मसरूम पिजा
मसरूम पिजा बन्छ कि नाइँ,मसरूम पिजा
मसरूम पिजा बन्छ कि बन्दैन,मसरूम पिजा
मसरूम पिजा बनाउन मिल्छ कि नाइँ,मसरूम पिजा
मसरूम पिजा बनाउन मिल्छ कि मिल्दैन,मसरूम पिजा
मसरूम पिजा पाउला,मसरूम पिजा
कति पर्छ मसरूम पिजालाइ,मसरूम पिजा
मसरूम पिजा कतिमा पाउछ होला,मसरूम पिजा
मसरूम पिजालाइ कति पर्न जान्छ,मसरूम पिजा
कति पर्नी हो मसरूम पिजालाइ,मसरूम पिजा
मसरूम पिजाको पैसा कति पर्छ,मसरूम पिजा
कति पैसा पर्नी हो मसरूम पिजालाइ,मसरूम पिजा
मसरूम पिजालाइ कति रुपैया पर्छ,मसरूम पिजा
मसरूम पिजा कति रुपैयामा आउछ,मसरूम पिजा
कति रुपैयामा हो मसरूम पिजाको,मसरूम पिजा
चिकेन पिजा छ,चिकेन पिजा
चिकेन वाला पिजा पाइन्छ,चिकेन पिजा
चिकेन पिजा बन्छ,चिकेन पिजा
चिकेन पिजा बनाउन मिल्छ,चिकेन पिजा
चिकेन पिजा पाउला कि नाई,चिकेन पिजा
चिकेन पिजालाई कति हो,चिकेन पिजा
चिकेन पिजाको पैसा कति हो,चिकेन पिजा
चिकेन पिजालाई कति तिर्नु पर्नी हो,चिकेन पिजा
चिकेन पिजा कतिमा पाइन्छ,चिकेन पिजा
चिकेन पिजालाई कति पर्न जान्छ,चिकेन पिजा
चिक्कन पिजा छ कि छैन,चिकेन पिजा
चिक्कन पिजा छ कि नाइँ,चिकेन पिजा
चिक्कन वाला पिजा पाइन्छ कि नाइँ,चिकेन पिजा
चिक्कन वाला पिजा पाउछ कि पाउदैन,चिकेन पिजा
चिक्कन पिजा बन्छ कि नाइँ,चिकेन पिजा
चिक्कन पिजा बन्छ कि बन्दैन,चिकेन पिजा
चिक्कन पिजा बनाउन मिल्छ कि नाइँ,चिकेन पिजा
चिक्कन पिजा बनाउन मिल्छ कि मिल्दैन,चिकेन पिजा
चिक्कन पिजा पाउला,चिकेन पिजा
कति पर्छ चिक्कन पिजालाइ,चिकेन पिजा
चिक्कन पिजा कतिमा पाउछ होला,चिकेन पिजा
चिक्कन पिजालाइ कति पर्न जान्छ,चिकेन पिजा
कति पर्नी हो चिक्कन पिजालाइ,चिकेन पिजा
चिक्कन पिजाको पैसा कति पर्छ,चिकेन पिजा
कति पैसा पर्नी हो चिक्कन पिजालाइ,चिकेन पिजा
चिक्कन पिजालाइ कति रुपैया पर्छ,चिकेन पिजा
चिक्कन पिजा कति रुपैयामा आउछ,चिकेन पिजा
कति रुपैयामा हो चिक्कन पिजाको,चिकेन पिजा
मिक्स पिजा छ,मिक्स पिजा
मिक्स वाला पिजा पाइन्छ,मिक्स पिजा
मिक्स पिजा बन्छ,मिक्स पिजा
मिक्स पिजा बनाउन मिल्छ,मिक्स पिजा
मिक्स पिजा पाउला कि नाई,मिक्स पिजा
मिक्स पिजालाई कति हो,मिक्स पिजा
मिक्स पिजाको पैसा कति हो,मिक्स पिजा
मिक्स पिजालाई कति तिर्नु पर्नी हो,मिक्स पिजा
मिक्स पिजा कतिमा पाइन्छ,मिक्स पिजा
मिक्स पिजालाई कति पर्न जान्छ,मिक्स पिजा
मिक्स पिजा छ कि छैन,मिक्स पिजा
मिक्स पिजा छ कि नाइँ,मिक्स पिजा
मिक्स वाला पिजा पाइन्छ कि नाइँ,मिक्स पिजा
मिक्स वाला पिजा पाउछ कि पाउदैन,मिक्स पिजा
मिक्स पिजा बन्छ कि नाइँ,मिक्स पिजा
मिक्स पिजा बन्छ कि बन्दैन,मिक्स पिजा
मिक्स पिजा बनाउन मिल्छ कि नाइँ,मिक्स पिजा
मिक्स पिजा बनाउन मिल्छ कि मिल्दैन,मिक्स पिजा
मिक्स पिजा पाउला,मिक्स पिजा
कति पर्छ मिक्स पिजालाइ,मिक्स पिजा
मिक्स पिजा कतिमा पाउछ होला,मिक्स पिजा
मिक्स पिजालाइ कति पर्न जान्छ,मिक्स पिजा
कति पर्नी हो मिक्स पिजालाइ,मिक्स पिजा
मिक्स पिजाको पैसा कति पर्छ,मिक्स पिजा
कति पैसा पर्नी हो मिक्स पिजालाइ,मिक्स पिजा
मिक्स पिजालाइ कति रुपैया पर्छ,मिक्स पिजा
मिक्स पिजा कति रुपैयामा आउछ,मिक्स पिजा
कति रुपैयामा हो मिक्स पिजाको,मिक्स पिजा
मोमो छ कि छैन,मोमो
मोमो पाउछ,मोमो
मोमो बन्छ कि नाई,मोमो
मोमो बनाउन मिल्छ,मोमो
मोमो सक्कियो कि नाई,मोमो
मोमो सक्केको हो र,मोमो
मोमो चाहिएको थियो पाउछ कि नाई,मोमो
मोमो होला,मोमो
कुन कुन मोमो छ,मोमो
कस्तो कस्तो मोमो छ,मोमो
कति किसिमको मोमो छ,मोमो
कति प्रकारको मोमो छ,मोमो
कति समय लाग्छ मोमो बन्न,मोमो
कति कुर्नु पर्छ मोमोलाई,मोमो
कति बेला रेडी हुन्छ मोमो,मोमो
कति बेला तयार हुन्छ मोमो,मोमो
कति बेला सम्म कुर्नु पर्छ मोमोलाई,मोमो
मोमो छ,मोमो
मोमो छ कि नाई,मोमो
मोमो पाउछ कि नाई,मोमो
मोमो पाउछ कि पाउदैन,मोमो
मोमो बनाउन मिल्छ कि मिल्दैन,मोमो
मोमो बनाउन मिल्छ कि नाई,मोमो
मोमो सक्कियो र,मोमो
मोमो कुन कुन छ,मोमो
मोमो कस्तो कस्तो छ र,मोमो
कति प्रकारको मोमो पाइन्छ यहाँ,मोमो
कति किसिमको मोमो पाइन्छ यहाँ,मोमो
मोमोमा कुन छ,मोमो
मोमो बन्न कति समय लाग्छ,मोमो
मोमो बनाउन कति समय लाग्छ,मोमो
कति समय लाग्छ मोमो बन्न,मोमो
कति बेला मोमो रेडी हुन्छ,मोमो
कति बेला सम्म कुर्न पर्नी हो हामीलाई मोमोको लागि,मोमो
कति बेला तयार हुन्छ मोमो,मोमो
मोमो बनाएर कति बेला रेडी हुन्छ,मोमो
मोमो बनाएर कति बेला तयार हुन्छ,मोमो
भेज मोमो छ,भेज मोमो
भेज वाला मोमो पाइन्छ,भेज मोमो
भेज मोमो बन्छ,भेज मोमो
भेज मोमो बनाउन मिल्छ,भेज मोमो
भेज मोमो पाउला कि नाई,भेज मोमो
भेज मोमोलाई कति हो,भेज मोमो
भेज मोमोको पैसा कति हो,भेज मोमो
भेज मोमोलाई कति तिर्नु पर्नी हो,भेज मोमो
भेज मोमो कतिमा पाइन्छ,भेज मोमो
भेज मोमोलाई कति पर्न जान्छ,भेज मोमो
भेज मोमो छ कि छैन,भेज मोमो
भेज मोमो छ कि नाइँ,भेज मोमो
भेज वाला मोमो पाइन्छ कि नाइँ,भेज मोमो
भेज वाला मोमो पाउछ कि पाउदैन,भेज मोमो
भेज मोमो बन्छ कि नाइँ,भेज मोमो
भेज मोमो बन्छ कि बन्दैन,भेज मोमो
भेज मोमो बनाउन मिल्छ कि नाइँ,भेज मोमो
भेज मोमो बनाउन मिल्छ कि मिल्दैन,भेज मोमो
भेज मोमो पाउला,भेज मोमो
कति पर्छ भेज मोमोलाइ,भेज मोमो
भेज मोमो कतिमा पाउछ होला,भेज मोमो
भेज मोमोलाइ कति पर्न जान्छ,भेज मोमो
कति पर्नी हो भेज मोमोलाइ,भेज मोमो
भेज मोमोको पैसा कति पर्छ,भेज मोमो
कति पैसा पर्नी हो भेज मोमोलाइ,भेज मोमो
भेज मोमोलाइ कति रुपैया पर्छ,भेज मोमो
भेज मोमो कति रुपैयामा आउछ,भेज मोमो
कति रुपैयामा हो भेज मोमोको,भेज मोमो
चिकेन मोमो छ,चिकेन मोमो
चिकेन वाला मोमो पाइन्छ,चिकेन मोमो
चिकेन मोमो बन्छ,चिकेन मोमो
चिकेन मोमो बनाउन मिल्छ,चिकेन मोमो
चिकेन मोमो पाउला कि नाई,चिकेन मोमो
चिकेन मोमोलाई कति हो,चिकेन मोमो
चिकेन मोमोको पैसा कति हो,चिकेन मोमो
चिकेन मोमोलाई कति तिर्नु पर्नी हो,चिकेन मोमो
चिकेन मोमो कतिमा पाइन्छ,चिकेन मोमो
चिकेन मोमोलाई कति पर्न जान्छ,चिकेन मोमो
चिकेन मोमो छ कि छैन,चिकेन मोमो
चिकेन मोमो छ कि नाइँ,चिकेन मोमो
चिकेन वाला मोमो पाइन्छ कि नाइँ,चिकेन मोमो
चिकेन वाला मोमो पाउछ कि पाउदैन,चिकेन मोमो
चिकेन मोमो बन्छ कि नाइँ,चिकेन मोमो
चिकेन मोमो बन्छ कि बन्दैन,चिकेन मोमो
चिकेन मोमो बनाउन मिल्छ कि नाइँ,चिकेन मोमो
चिकेन मोमो बनाउन मिल्छ कि मिल्दैन,चिकेन मोमो
चिकेन मोमो पाउला,चिकेन मोमो
कति पर्छ चिकेन मोमोलाइ,चिकेन मोमो
चिकेन मोमो कतिमा पाउछ होला,चिकेन मोमो
चिकेन मोमोलाइ कति पर्न जान्छ,चिकेन मोमो
कति पर्नी हो चिकेन मोमोलाइ,चिकेन मोमो
चिकेन मोमोको पैसा कति पर्छ,चिकेन मोमो
कति पैसा पर्नी हो चिकेन मोमोलाइ,चिकेन मोमो
चिकेन मोमोलाइ कति रुपैया पर्छ,चिकेन मोमो
चिकेन मोमो कति रुपैयामा आउछ,चिकेन मोमो
कति रुपैयामा हो चिकेन मोमोको,चिकेन मोमो
बफ मोमो छ,बफ मोमो
बफ वाला मोमो पाइन्छ,बफ मोमो
बफ मोमो बन्छ,बफ मोमो
बफ मोमो बनाउन मिल्छ,बफ मोमो
बफ मोमो पाउला कि नाई,बफ मोमो
बफ मोमोलाई कति हो,बफ मोमो
बफ मोमोको पैसा कति हो,बफ मोमो
बफ मोमोलाई कति तिर्नु पर्नी हो,बफ मोमो
बफ मोमो कतिमा पाइन्छ,बफ मोमो
बफ मोमोलाई कति पर्न जान्छ,बफ मोमो
बफ मोमो छ कि छैन,बफ मोमो
बफ मोमो छ कि नाइँ,बफ मोमो
बफ वाला मोमो पाइन्छ कि नाइँ,बफ मोमो
बफ वाला मोमो पाउछ कि पाउदैन,बफ मोमो
बफ मोमो बन्छ कि नाइँ,बफ मोमो
बफ मोमो बन्छ कि बन्दैन,बफ मोमो
बफ मोमो बनाउन मिल्छ कि नाइँ,बफ मोमो
बफ मोमो बनाउन मिल्छ कि मिल्दैन,बफ मोमो
बफ मोमो पाउला,बफ मोमो
कति पर्छ बफ मोमोलाइ,बफ मोमो
बफ मोमो कतिमा पाउछ होला,बफ मोमो
बफ मोमोलाइ कति पर्न जान्छ,बफ मोमो
कति पर्नी हो बफ मोमोलाइ,बफ मोमो
बफ मोमोको पैसा कति पर्छ,बफ मोमो
कति पैसा पर्नी हो बफ मोमोलाइ,बफ मोमो
बफ मोमोलाइ कति रुपैया पर्छ,बफ मोमो
बफ मोमो कति रुपैयामा आउछ,बफ मोमो
कति रुपैयामा हो बफ मोमोको,बफ मोमो
सी मोमो छ,सी मोमो
सी मोमो बन्छ,सी मोमो
सी मोमो बनाउन मिल्छ,सी मोमो
सी मोमो पाउला कि नाई,सी मोमो
सी मोमोलाई कति हो,सी मोमो
सी मोमोको पैसा कति हो,सी मोमो
सी मोमोलाई कति तिर्नु पर्नी हो,सी मोमो
सी मोमो कतिमा पाइन्छ,सी मोमो
सी मोमोलाई कति पर्न जान्छ,सी मोमो
सी मोमो छ कि छैन,सी मोमो
सी मोमो छ कि नाइँ,सी मोमो
सी वाला मोमो पाइन्छ कि नाइँ,सी मोमो
सी वाला मोमो पाउछ कि पाउदैन,सी मोमो
सी मोमो बन्छ कि नाइँ,सी मोमो
सी मोमो बन्छ कि बन्दैन,सी मोमो
सी मोमो बनाउन मिल्छ कि नाइँ,सी मोमो
सी मोमो बनाउन मिल्छ कि मिल्दैन,सी मोमो
सी मोमो पाउला,सी मोमो
कति पर्छ सी मोमोलाइ,सी मोमो
सी मोमो कतिमा पाउछ होला,सी मोमो
सी मोमोलाइ कति पर्न जान्छ,सी मोमो
कति पर्नी हो सी मोमोलाइ,सी मोमो
सी मोमोको पैसा कति पर्छ,सी मोमो
कति पैसा पर्नी हो सी मोमोलाइ,सी मोमो
सी मोमोलाइ कति रुपैया पर्छ,सी मोमो
सी मोमो कति रुपैयामा आउछ,सी मोमो
कति रुपैयामा हो सी मोमोको,सी मोमो
चाउमिन छ कि छैन,चाउमिन
चाउमिन पाउछ,चाउमिन
चाउमिन बन्छ कि नाई,चाउमिन
चाउमिन बनाउन मिल्छ,चाउमिन
चाउमिन सक्कियो कि नाई,चाउमिन
चाउमिन सक्केको हो र,चाउमिन
चाउमिन चाहिएको थियो पाउछ कि नाई,चाउमिन
चाउमिन होला,चाउमिन
कुन कुन चाउमिन छ,चाउमिन
कस्तो कस्तो चाउमिन छ,चाउमिन
कति किसिमको चाउमिन छ,चाउमिन
कति प्रकारको चाउमिन छ,चाउमिन
कति समय लाग्छ चाउमिन बन्न,चाउमिन
कति कुर्नु पर्छ चाउमिनलाई,चाउमिन
चाउमिन कति बेला रेडी हुन्छ,चाउमिन
कति बेला तयार हुन्छ चाउमिन,चाउमिन
कति बेला सम्म कुर्नु पर्छ चाउमिनलाई,चाउमिन
चाउमिन छ,चाउमिन
चाउमिन छ कि नाई,चाउमिन
चाउमिन पाउछ कि नाई,चाउमिन
चाउमिन पाउछ कि पाउदैन,चाउमिन
चाउमिन बनाउन मिल्छ कि मिल्दैन,चाउमिन
चाउमिन बनाउन मिल्छ कि नाई,चाउमिन
चाउमिन सक्कियो र,चाउमिन
चाउमिन कुन कुन छ,चाउमिन
चाउमिन कस्तो कस्तो छ र,चाउमिन
कति प्रकारको चाउमिन पाइन्छ यहाँ,चाउमिन
कति किसिमको चाउमिन पाइन्छ यहाँ,चाउमिन
चाउमिनमा कुन छ,चाउमिन
चाउमिन बन्न कति समय लाग्छ,चाउमिन
चाउमिन बनाउन कति समय लाग्छ,चाउमिन
कति समय लाग्छ चाउमिन बन्न,चाउमिन
कति बेला चाउमिन रेडी हुन्छ,चाउमिन
कति बेला सम्म कुर्न पर्नी हो हामीलाई चाउमिनको लागि,चाउमिन
कति बेला तयार हुन्छ चाउमिन,चाउमिन
चाउमिन बनाएर कति बेला रेडी हुन्छ,चाउमिन
चाउमिन बनाएर कति बेला तयार हुन्छ,चाउमिन
भेज चाउमिन छ,भेज चाउमिन
भेज वाला चाउमिन पाइन्छ,भेज चाउमिन
भेज चाउमिन बन्छ,भेज चाउमिन
भेज चाउमिन बनाउन मिल्छ,भेज चाउमिन
भेज चाउमिन पाउला कि नाई,भेज चाउमिन
भेज चाउमिनलाई कति हो,भेज चाउमिन
भेज चाउमिनको पैसा कति हो,भेज चाउमिन
भेज चाउमिनलाई कति तिर्नु पर्नी हो,भेज चाउमिन
भेज चाउमिन कतिमा पाइन्छ,भेज चाउमिन
भेज चाउमिनलाई कति पर्न जान्छ,भेज चाउमिन
भेज चाउमिन छ कि छैन,भेज चाउमिन
भेज चाउमिन छ कि नाइँ,भेज चाउमिन
भेज वाला चाउमिन पाइन्छ कि नाइँ,भेज चाउमिन
भेज वाला चाउमिन पाउछ कि पाउदैन,भेज चाउमिन
भेज चाउमिन बन्छ कि नाइँ,भेज चाउमिन
भेज चाउमिन बन्छ कि बन्दैन,भेज चाउमिन
भेज चाउमिन बनाउन मिल्छ कि नाइँ,भेज चाउमिन
भेज चाउमिन बनाउन मिल्छ कि मिल्दैन,भेज चाउमिन
भेज चाउमिन पाउला,भेज चाउमिन
कति पर्छ भेज चाउमिनलाइ,भेज चाउमिन
भेज चाउमिन कतिमा पाउछ होला,भेज चाउमिन
भेज चाउमिनलाइ कति पर्न जान्छ,भेज चाउमिन
कति पर्नी हो भेज चाउमिनलाइ,भेज चाउमिन
भेज चाउमिनको पैसा कति पर्छ,भेज चाउमिन
कति पैसा पर्नी हो भेज चाउमिनलाइ,भेज चाउमिन
भेज चाउमिनलाइ कति रुपैया पर्छ,भेज चाउमिन
भेज चाउमिन कति रुपैयामा आउछ,भेज चाउमिन
कति रुपैयामा हो भेज चाउमिनको,भेज चाउमिन
चिकेन चाउमिन छ,चिकेन चाउमिन
चिकेन वाला चाउमिन पाइन्छ,चिकेन चाउमिन
चिकेन चाउमिन बन्छ,चिकेन चाउमिन
चिकेन चाउमिन बनाउन मिल्छ,चिकेन चाउमिन
चिकेन चाउमिन पाउला कि नाई,चिकेन चाउमिन
चिकेन चाउमिनलाई कति हो,चिकेन चाउमिन
चिकेन चाउमिनको पैसा कति हो,चिकेन चाउमिन
चिकेन चाउमिनलाई कति तिर्नु पर्नी हो,चिकेन चाउमिन
चिकेन चाउमिन कतिमा पाइन्छ,चिकेन चाउमिन
चिकेन चाउमिनलाई कति पर्न जान्छ,चिकेन चाउमिन
चिकेन चाउमिन छ कि छैन,चिकेन चाउमिन
चिकेन चाउमिन छ कि नाइँ,चिकेन चाउमिन
चिकेन वाला चाउमिन पाइन्छ कि नाइँ,चिकेन चाउमिन
चिकेन वाला चाउमिन पाउछ कि पाउदैन,चिकेन चाउमिन
चिकेन चाउमिन बन्छ कि नाइँ,चिकेन चाउमिन
चिकेन चाउमिन बन्छ कि बन्दैन,चिकेन चाउमिन
चिकेन चाउमिन बनाउन मिल्छ कि नाइँ,चिकेन चाउमिन
चिकेन चाउमिन बनाउन मिल्छ कि मिल्दैन,चिकेन चाउमिन
चिकेन चाउमिन पाउला,चिकेन चाउमिन
कति पर्छ चिकेन चाउमिनलाइ,चिकेन चाउमिन
चिकेन चाउमिन कतिमा पाउछ होला,चिकेन चाउमिन
चिकेन चाउमिनलाइ कति पर्न जान्छ,चिकेन चाउमिन
कति पर्नी हो चिकेन चाउमिनलाइ,चिकेन चाउमिन
चिकेन चाउमिनको पैसा कति पर्छ,चिकेन चाउमिन
कति पैसा पर्नी हो चिकेन चाउमिनलाइ,चिकेन चाउमिन
चिकेन चाउमिनलाइ कति रुपैया पर्छ,चिकेन चाउमिन
चिकेन चाउमिन कति रुपैयामा आउछ,चिकेन चाउमिन
कति रुपैयामा हो चिकेन चाउमिनको,चिकेन चाउमिन
बफ चाउमिन छ,बफ चाउमिन
बफ वाला चाउमिन पाइन्छ,बफ चाउमिन
बफ चाउमिन बन्छ,बफ चाउमिन
बफ चाउमिन बनाउन मिल्छ,बफ चाउमिन
बफ चाउमिन पाउला कि नाई,बफ चाउमिन
बफ चाउमिनलाई कति हो,बफ चाउमिन
बफ चाउमिनको पैसा कति हो,बफ चाउमिन
